Creole,English
Everyone deserves quality education,Everyone deserves quality education
"Allyuh, pay attention in school","Everyone, pay attention in school"
"Allyuh, get ready, we leaving soon","Everyone, get ready, we're leaving soon"
Wat allyuh craving to eat?,What do you all crave to eat?
"Allyuh, think this a solid plan?","Everyone, think this is a solid plan?"
"Shaguanas too chaotic, meen going dey","Chaguanas is too chaotic, I'm not going there"
Sandy Grandy always lively with cars and people,Sangre Grande is always lively with cars and people
Sando is one bustling city,San Fernando is one bustling city
"I think we should go Sandy Grandy, better food","I think we should go to Sangre Grande, better food"
Lewwe gather for ah picnic in the Savannah,Let's gather for a picnic in the Savannah
"Hey, allyuh aware of any cool hangout spots?","Hey, do you all know of any cool hangout spots?"
Dat place has the most amazing ambiance,That place has the most amazing ambiance
"If yuh seeking vibes, check out that spot","If you're seeking vibes, check out that spot"
"Sawa is laid-back, yuh should definitely try it","San Juan is laid-back, you should definitely try it"
"Shaguanas always bustling, especially in the afternoons","Chaguanas is always bustling, especially in the afternoons"
Lewwe head to Tobago for an epic weekend hangout,Let's head to Tobago for an epic weekend hangout
"Planning another lime, allyuh interested?","Planning another hangout, are you all interested?"
Tobago beaches are unparalleled for a chill time,Tobago beaches are unparalleled for a chill time
Ah contemplating starting a fresh venture,I'm contemplating starting a fresh venture
Anybody got some hustle concepts to share?,Anybody got some hustle concepts to share?
"Starting a business, perhaps a mobile food stand","Starting a business, perhaps a mobile food stand"
"Yuh cud sell doubles, ah cud sell jerk chicken","You could sell doubles, and I could sell jerk chicken"
We cud hustle some serious cash flow,We cud hustle some serious cash flow
"Allyuh, get ready, we're leaving soon","Everyone, get ready, we're leaving soon"
Lewwe lime tgt nah,Let's hangout together
"Yuh reach already, we limin","You've arrived already, we're hanging out"
Ah on meh way down de road,I'm on my way down the road
"No stress, we go handle dat","No stress, we'll handle that"
"Yuh vibes nice, we need more","Your vibes are nice, we need more of that"
Ah craving doubles right now,I'm craving doubles right now
"Coolin' out, just taking it easy","I'm just cooling out, taking it easy"
"Givin' yuh a chance, impress me","I'm giving you a chance, impress me"
"Catch yuh later, we linkin up","See you later, we'll link up"
Wey yuh dey? Ah lookin for yuh,Where are you? I'm looking for you
"Gyul, yuh lookin sweet as ever","Girl, you're looking sweet as ever"
"Red man, behave yuhself","Lightskin man, behave yourself"
Ah need a piece ah cake right now,I need a piece of cake right now
Wey yuh get dat dress from?,Where did you get that dress?
"Mehson, yuh lookin real bess","My son, you're looking really good"
"Waz d word, how yuh makin out?","What's up, how are you doing?"
"Ah go call back, lil busy","I'll call you back, a bit busy right now"
"Steelpan playing, limin by de Savannah","The steelpan is playing, chilling by the Savannah"
"Gimme ah bly, let meh borrow a dollar","Give me a break, let me borrow a dollar"
Wey yuh falling back for?,Why are you falling back?
"In the mood to fete, we goin party","I'm in the mood to party, we're going to party"
"Just so, we makin moves","Just like that, we're making moves"
"Watchin de game, pumpin vibes","Watching the game, playing good music"
"Stop yuh carryin on, party startin","Stop your nonsense, the party is starting"
"Wais d order, gimme sumn to eat","What's up, give me something to eat"
"Hold on, ah comin","Hold on, I'm on my way"
Yuh bringin yuh crew? We ready,Are you bringing your friends? We're ready
"Need sumn sweet, gimme dat","Need something sweet, give me that"
"Waz de vybz, pumpin tunes","What's the vibe, playing tunes"
"Later, ah gone","Later, I'm gone"
Wey yuh get dat info?,Where did you get that information?
Tell meh sumting good,Tell me something good
Yuh lime dey?,You hangout there?
Ah doh mind,I don't mind
Waz de buzz?,What's the latest gossip?
We liming owa?,Are we hanging out or what?
Ah tired like a dog,I'm really tired
Yuh in yuh feelings?,Are you in a sensitive mood?
Wey yuh goin by de beach?,Where are you going to the beach?
Ah feelin vibes,I'm feeling energetic
Wey yuh get dat accent?,Where did you get that accent?
Yuh lookin like a snack,You're looking really attractive
"Ah juss coolin, no stress","I'm just relaxing, no worries"
Waz de plan for tonight?,What's the plan for tonight?
Yuh watchin de match?,Are you watching the match?
Ah have a sweet tooth,I have a craving for something sweet
Wey yuh buy dat shirt?,Where did you buy that shirt?
Yuh makin moves or limin?,Are you being productive or just chilling?
Ah feelin to buss a lime,I feel like hanging out
Yuh cookin up a storm,You're cooking a lot of delicious food
Wey yuh learn dat dance?,Where did you learn that dance?
Ah in meh zone,I'm in my own world
Waz de latest chune?,What's the latest song?
Yuh bringin de jokes today,You're in a humorous mood today
Wey yuh get dat hat?,Where did you get that hat?
Ah lookin for a good lime,I'm looking for a good time
Waz de mood like?,What's the mood like?
Yuh feelin irie?,Are you feeling good?
Wey yuh get dat recipe?,Where did you get that recipe?
Ah ready to fete,I'm ready to party
Waz de talk of de town?,What's the talk of the town?
Yuh on dat island time,You're taking it easy and relaxed
Wey yuh find dat information?,Where did you find that information?
Ah on meh grind,I'm focused on my work
Yuh bringin de good vibes,You're bringing positive energy
Wey yuh see dat movie?,Where did you see that movie?
Ah lookin for some action,I'm looking for some excitement
Waz de topic for today?,What's the topic for today?
Yuh lookin fresh,You're looking fresh
Wey yuh buy dat car?,Where did you buy that car?
"Waz de scene, any updates?","What's going on, any updates?"
Yuh linkin up with de crew?,Are you meeting up with the crew?
Ah hear de food real good dey,I heard the food is really good there
Waz de word on de street?,What's the word on the street?
Yuh holdin a vibe or wah?,Are you holding a good vibe or what?
"Ah just reach, what ah miss?","I just arrived, what did I miss?"
Wey yuh get dat hairstyle?,Where did you get that hairstyle?
Yuh checkin de event later?,Are you checking out the event later?
Ah need some island time,"I need some relaxed, island time"
Waz de plan for de weekend vibes?,What's the plan for the weekend vibes?
Yuh lookin like a million bucks,You're looking really stylish and wealthy
Ah in de mood for some soca,I'm in the mood for some soca music
Wey yuh find dat hidden gem?,Where did you find that hidden gem?
Yuh feelin de Carnival spirit?,Are you feeling the Carnival spirit?
Ah just coolin in meh zone,I'm just relaxing in my own space
Waz de mood like by de beach?,What's the mood like by the beach?
Yuh bringin de good energy,You're bringing positive and good energy
Ah ready to shell down de party,I'm ready to party and have a great time
Wey yuh discover dat spot?,Where did you discover that spot?
Yuh movin like a boss,You're moving with confidence and authority
Wais de plan for de night?,What's the plan for the night?
Yuh flexin or chillin?,Are you flexing or chilling?
Ah lookin for dat island breeze,I'm looking for that refreshing island breeze
Wey yuh pick up dat skill?,Where did you pick up that skill?
Yuh ready for de lime?,Are you ready for the hangout?
Ah feelin de positive vibes,I'm feeling the positive vibes
Wey yuh get dat artwork?,Where did you get that artwork?
Yuh holdin it down owa?,Are you holding it down or what?
Ah on de lookout for adventure,I'm on the lookout for some adventure
Waz de story behind dat tattoo?,What's the story behind that tattoo?
"Yuh keepin it real, ah respect dat","You're keeping it real, I respect that"
Wey yuh experience dat magic?,Where did you experience that magic?
Ah ready for de road,I'm ready to hit the road
Waz de plan for de evening?,What's the plan for the evening?
Yuh catch dat sunset?,Did you catch that sunset?
Ah lookin to catch a vibe,I'm looking to catch a good vibe
Waz de move for de day?,What's the move for the day?
Yuh bringin de good times,You're bringing the good times
"Wey yuh been, ah haven't seen yuh in ages!",Where have you been? I haven't seen you in ages!
Yuh hear bout de new spot dat just opened up?,You heard about the new spot that just opened up?
"Waz de vibe for today, meh friend?","What's the vibe for today, my friend?"
"Yuh good, ah hope so!","You good, I hope so!"
Wey yuh dey dis time?,Where are you at this time?
"Ah just dey chillin', no stressin'","I'm just chilling, no stressing"
Waz de latest talk on de block?,What's the latest talk on the block?
"Yuh catch dat new song, it real sweet!",Did you catch that new song? It's really good!
"Wey yuh get dat outfit, it bess!",Where did you get that outfit? It's the best!
"Ah dey movin' low-key today, yuh linkin' up?","I'm moving low-key today, are you hanging out?"
Waz de scene like for de weekend?,What's the scene like for the weekend?
Yuh cookin' up ah storm in de kitchen?,Are you cooking up a storm in the kitchen?
Wey yuh find dat cool gadget?,Where did you find that cool gadget?
"Ah hear yuh makin' moves, big tings comin'!","I heard you're making moves, big things coming!"
Waz de flavor for de day?,What's the flavor for the day?
"Yuh see dat movie, it have vibes!",Did you see that movie? It has good vibes!
Wey yuh get dat positive energy from?,Where do you get that positive energy from?
"Ah just dey take it one step at a time, yuh feel me?","I'm just taking it one step at a time, you feel me?"
Waz de topic for de lime later?,What's the topic for the hangout later?
Yuh find ah good spot to lime?,Did you find a good spot to hang out?
"Wey yuh learn dat dance, it real cool!",Where did you learn that dance? It's really cool!
Ah dey vybin' to some sweet soca tunes,I'm vibing to some sweet soca tunes
Waz de plan for de afternoon?,What's the plan for the afternoon?
"Yuh bringin' yuh crew, we ready fi fete!",Are you bringing your friends? We're ready to party!
Wey yuh see dat new artwork?,Where did you see that new artwork?
Ah just dey take in de sweet island breeze,I'm just taking in the sweet island breeze
"Waz de word on de street, any updates?","What's the word on the street, any updates?"
Yuh linkin' up with de fam later?,Are you hanging out with the family later?
"Wey yuh get dat recipe, it taste real good!",Where did you get that recipe? It tastes really good!
"Ah hear yuh been hustlin', keep grindin'!","I heard you've been hustling, keep grinding!"
"Waz de latest fashion trend, yuh stayin' fresh!","What's the latest fashion trend, are you staying fresh?"
"Yuh ever try dat new dish, it dey hit different!",Have you ever tried that new dish? It hits different!
Wey yuh get dat positive outlook on life?,Where do you get that positive outlook on life?
Ah just dey give thanks for another day,I'm just giving thanks for another day
"Waz de sitch with yuh, any challenges lately?","What's the situation with you, any challenges lately?"
"Yuh see de sunrise dis mornin', it was a real beauty!",Did you see the sunrise this morning? It was a real beauty!
"Wey yuh learn dat skill, it impressive!",Where did you learn that skill? It's impressive!
Ah just dey stay true to meh roots,I'm just staying true to my roots
"Waz de move for de night, any parties goin' on?","What's the move for the night, any parties going on?"
Yuh ever been to dat new spot downtown?,Have you ever been to that new spot downtown?
"Wey yuh find dat hidden gem, it real nice!",Where did you find that hidden gem? It's really nice!
"Ah dey lookin' for ah good lime, yuh know any spots?","I'm looking for a good hangout, do you know any spots?"
Waz de vybz like in yuh area?,What's the vibe like in your area?
"Yuh ever been to dat carnival, it epic!",Have you ever been to that carnival? It's epic!
"Wey yuh discover dat talent, it unique!",Where did you discover that talent? It's unique!
Ah just dey enjoyin' de simple tings in life,I'm just enjoying the simple things in life
"Waz de talk of de town, any gossip goin' on?","What's the talk of the town, any gossip going on?"
"Yuh ever had dat local delicacy, it mouthwatering!",Have you ever had that local delicacy? It's mouthwatering!
Wey yuh see yuhself in de next few years?,Where do you see yourself in the next few years?
"Ah hear yuh been explorin', keep discoverin' new tings!","I heard you've been exploring, keep discovering new things!"
"Waz de plan for de weekend, any adventures?","What's the plan for the weekend, any adventures?"
Yuh ever been on a spontaneous road trip?,Have you ever been on a spontaneous road trip?
"Wey yuh get dat positive energy from, it contagious!",Where do you get that positive energy from? It's contagious!
"Ah just dey take it easy, no rushin' ting","I'm just taking it easy, no rushing things"
Waz de highlight of yuh day so far?,What's the highlight of your day so far?
"Yuh ever try dat local fruit, it sweet like sugar!",Have you ever tried that local fruit? It's sweet like sugar!
"Wey yuh find dat sense of humor, it brightens de day!",Where did you find that sense of humor? It brightens the day!
Ah just dey embrace de positive vibes around meh,I'm just embracing the positive vibes around me
"Waz de plan for de evening, any special ting goin' on?","What's the plan for the evening, any special thing going on?"
"Yuh ever been to dat cultural festival, it a celebration!",Have you ever been to that cultural festival? It's a celebration!
"Wey yuh get dat calm demeanor, it soothing!",Where did you get that calm demeanor? It's soothing!
Ah just dey navigate through de journey of life,I'm just navigating through the journey of life
Yuh ever been on a boat ride by de bay?,Have you ever been on a boat ride by the bay?
"Wey yuh find dat inner strength, it admirable!",Where did you find that inner strength? It's admirable!
"Ah hear yuh been on de hustle, keep pushin' forward!","I heard you've been on the hustle, keep pushing forward!"
Waz de key to maintainin' a positive mindset for yuh?,What's the key to maintaining a positive mindset for you?
"Yuh ever been to dat local market, it a vibrant experience!",Have you ever been to that local market? It's a vibrant experience!
Wey yuh see yuhself in de grand scheme of tings?,Where do you see yourself in the grand scheme of things?
Ah just dey appreciate de beauty of de moment,I'm just appreciating the beauty of the moment
Waz de role of community in yuh life?,What's the role of community in your life?
"Yuh ever been to dat historic site, it full of stories!",Have you ever been to that historic site? It's full of stories!
"Wey yuh learn dem life lessons, it moldin' yuh well!",Where did you learn those life lessons? It's molding you well!
"Ah just dey live in de now, no worry 'bout tomorrow","I'm just living in the now, not worrying about tomorrow"
Waz de highlight of yuh week so far?,What's the highlight of your week so far?
"Yuh ever been to dat local art gallery, it a masterpiece showcase!",Have you ever been to that local art gallery? It's a masterpiece showcase!
"Wey yuh see dat sense of community, it heartwarming!",Where did you see that sense of community? It's heartwarming!
"Ah hear yuh been on de grind, keep hustlin'!","I heard you've been on the grind, keep hustling!"
Waz de impact of culture on yuh identity?,What's the impact of culture on your identity?
"Yuh ever been to dat peaceful retreat, it a sanctuary!",Have you ever been to that peaceful retreat? It's a sanctuary!
"Wey yuh draw inspiration from, it reflectin' in yuh aura!",Where do you draw inspiration from? It's reflecting in your aura!
Ah just dey soak in de good vibes around meh,I'm just soaking in the good vibes around me
Waz de significance of family in yuh life?,What's the significance of family in your life?
"Yuh ever been to dat scenic viewpoint, it breathtaking!",Have you ever been to that scenic viewpoint? It's breathtaking!
"Wey yuh discover dat passion, it drivin' yuh forward!",Where did you discover that passion? It's driving you forward!
"Ah hear yuh been explorin' de local traditions, keep learnin'!","I heard you've been exploring the local traditions, keep learning!"
Waz de most valuable ting yuh learned so far?,What's the most valuable thing you've learned so far?
"Yuh ever been to dat lively street festival, it a party!",Have you ever been to that lively street festival? It's a party!
"Wey yuh find dat sense of belonging, it special!",Where did you find that sense of belonging? It's special!
Ah just dey embrace meh uniqueness,I'm just embracing my uniqueness
Waz de essence of friendship for yuh?,What's the essence of friendship for you?
"Yuh ever been to dat cultural immersion program, it enlightening!",Have you ever been to that cultural immersion program? It's enlightening!
"Wey yuh get dat carefree spirit, it infectious!",Where did you get that carefree spirit? It's infectious!
"Ah hear yuh been on a journey of self-discovery, keep growin'!","I heard you've been on a journey of self-discovery, keep growing!"
Waz de secret to maintainin' a positive vibe?,What's the secret to maintaining a positive vibe?
"Yuh ever been to dat local street market, it a feast for de senses!",Have you ever been to that local street market? It's a feast for the senses!
"Wey yuh find dat sense of peace, it radiatin' from yuh!",Where did you find that sense of peace? It's radiating from you!
"Ah just dey appreciate de journey, not just de destination","I'm just appreciating the journey, not just the destination"
Waz de connection between yuh roots and yuh identity?,What's the connection between your roots and your identity?
"De pan playin, we limin by de Savannah","The steelpan is playing, we're hanging out by the Savannah"
"Gimme ah bly, leh meh borrow a dollar","Give me a chance, let me borrow a dollar"
Wey yuh fallin back for?,Why are you falling back?
"Ah feelin' tuh fete, we goin party","I'm in the mood to party, we're going to party"
"Jusso, we dey makin moves","Just so, we are making progress"
"Dey watchin de game, we pumpin vibes","They are watching the game, we're playing good music"
"Stop yuh carryin on, de party startin","Stop your behavior, the party is starting"
Waz di scene for the weekend?,What's the plan for the weekend?
"Buh wait ah comin, hold on","Hold on, I'm coming"
"Ah wah sumn sweet, gimme dat","I want something sweet, give me that"
"Waz de vybz, we pumpin tunes","What's the vibe, we're playing music"
"Latas dey, ah gone","Goodbye, I'm leaving"
"Yuh too chupid, stop dat nonsense","You're acting foolish, stop that nonsense"
"We limin by de beach, coolin' in de breeze","We're hanging out by the beach, relaxing in the breeze"
"Meh belly full, ah just eat ah good meal","My stomach is full, I just had a good meal"
Ah feelin like ah million bucks today,I'm feeling really good today
Leh we take ah drive down de avenue,Let's take a drive down the avenue
Wey yuh get dat accent from?,Where did you get that accent from?
"Ah tinkin 'bout carnival, de vibes sweet","I'm thinking about carnival, the vibes are great"
Yuh cya dance or yuh stiff like ah board?,Can you dance or are you stiff like a board?
Wey yuh dey runnin to?,Where are you running to?
"Ah love meh culture, we representin","I love my culture, we're representing"
Dey goin and fettin all night,They are going and partying all night
Ah go need ah likkle assistance,I'm going to need a little assistance
"Yuh too slow, pick up de pace","You're too slow, pick up the pace"
"Ah gettin on bad, watch meh","I'm getting in a good mood, watch me"
"Meh head hurtin meh, ah need ah remedy","My head is hurting, I need a remedy"
"Wey di joke, yuh makin meh laugh","What's the joke, you're making me laugh"
"Yuh lookin like ah snack, gyul","You're looking really attractive, girl"
"Ah dey waitin on yuh, hurry up","I am waiting for you, hurry up"
Ah love how yuh carryin yuhself,I love how you carry yourself
"Wey di vybz dey, we need dat energy","Where's the vibe, we need that energy"
"Yuh lookin like yuh vex, ease up","You're looking angry, relax"
"Mehson, yuh cyant be serious","My son, you can't be serious"
"Ah feelin blessed, thank God","I'm feeling blessed, thank God"
"Wey di scene for later, ah want to lime","What's the plan for later, I want to hang out"
"Ah just reach home, it was a long day","I just arrived home, it was a long day"
Yuh ever taste ah good curry duck?,Have you ever tasted a good curry duck?
Ah feeling real vibes at this party,I'm feeling a great atmosphere at this party
Yuh lookin' like a boss in dat outfit,You're looking like a boss in that outfit
Deh bringin' ah vibes to de fete,They are bringing a good atmosphere to the party
"Ah need ah vacation, work stressin' meh","I need a vacation, work is stressing me"
Wey yuh went on the weekend?,Where did you go over the weekend?
"De music pumpin', ah love de rhythm","The music is loud, I love the rhythm"
Ah feelin' to cook up ah storm in de kitchen,I feel like cooking up a storm in the kitchen
Dem gyal always up tuh sumting,Those girls are always up to something
Dat fella doh know how tuh cook,That guy doesn't know how to cook
"She always causing truble, dat one","She's always causing trouble, that one"
Dem chirren luv tuh play outside,Those children love to play outside
Ah hear dem fellas makin plans,I heard those guys making plans
She always late fuh de lime,She's always late for the hangout
Dem students studying rhell hard,Those students are studying really hard
Ah see dem fellas liming by de Savannah,I saw those guys hanging out by the Savannah
Dat man doh know how tuh fix tings,That man doesn't know how to fix things
Dem ladies lookin rhell nice,Those ladies are looking really nice
Ah ketch dem boys playin football,I caught those boys playing football
She always bringin de vybz,She always brings the good atmosphere
Dem fellas luv tuh tell stories,Those guys love to tell stories
Dat gyal doh know how tuh swim,That girl doesn't know how to swim
Ah see dem fellas in town,I saw those guys in town
Dem kids always askin questions,Those kids are always asking questions
Dat man doh know how tuh dance,That man doesn't know how to dance
Ah hear dem fellas singing,I heard those guys singing
Dem boys playin cricket in de park,Those boys are playing cricket in the park
Ah see dem girls shopping,I saw those girls shopping
Dem fellas plannin ah trip,Those guys are planning a trip
Ah ketch dem fellas watchin ah movie,I caught those guys watching a movie
Dem chirren luv de beach,Those children love the beach
She always talkin on de fone,She's always talking on the phone
Dem fellas fixin de car,Those guys are fixing the car
Dat man doh know how tuh play de guitar,That man doesn't know how to play the guitar
Ah see dem ladies jogging in de mrn,I saw those ladies jogging in the morning
Dem boys playin cards in de yard,Those boys are playing cards in the yard
Ah ketch dem girls whining at de party,I caught those girls dancing at the party
Dem fellas wuking hard in de ofice,Those guys are working hard in the office
Dat gyal doh know how tuh ride ah bike,That girl doesn't know how to ride a bike
Ah hear dem fellas singin karaoke,I heard those guys singing karaoke
Dem chirren playin hide and seek,Those children are playing hide and seek
Dem boys playin video games,Those boys are playing video games
Dat man doh know how tuh swim,That man doesn't know how to swim
Ah see dem ladies shopping fuh clothes,I saw those ladies shopping for clothes
Dem fellas fixin de roof,Those guys are fixing the roof
Dem gyal always schemin' someting,Those girls are always scheming something
Dat fella nah know de first ting 'bout cookin',That guy doesn't know the first thing about cooking
"She always causin' a ruckus, dat one","She's always causing a ruckus, that one"
Dem chirren luv runnin' wild outside,Those children love running wild outside
Ah hear dem fellas hatchin' sum plans,I heard those guys hatching some plans
"Dem students studyin rhell hard, nah lie","Those students are studying real hard, no lie"
Ah spot dem fellas limin by de Savannah,I spotted those guys hanging out by the Savannah
Dat man clueless 'bout fixin' tings,That man is clueless about fixing things
"Dem ladies lookin' real nice, allyuh","Those ladies are looking real nice, all of you"
Ah catch dem boys playing sum football,I caught those boys playing some football
"She always bringin' de vibes, every time","She's always bringing the good atmosphere, every time"
Dem fellas juss luv to spin some yarns,Those guys just love to spin some yarns
Dat gyal doh know how tuh swim ah stroke,That girl doesn't know how to swim a stroke
"Ah see dem fellas in town, doin' dey ting","I saw those guys in town, doing their thing"
Dem chirren always bombardin' wit questions,Those kids are always bombarding with questions
Dat man hopeless wen it come tuh dancing,That man is hopeless when it comes to dancing
Ah hear dem fellas beltin' out sum tunes,I heard those guys belting out some tunes
Dem boys hustlin' ah cricket match in de park,Those boys hustling a cricket match in the park
Ah see dem girls shopping fuh de latest treads,I saw those girls shopping for the latest threads
Dem fellas plottin' ah next-level trip,Those guys are plotting a next-level trip
Ah catch dem fellas glued tuh ah movie,I caught those guys glued to a movie
Dem chirren can't get enough of de beach,Those children can't get enough of the beach
She always chattin' away on de fone,She's always chatting away on the phone
"Dem fellas fixin' up de car, hands dutty","Those guys fixing up the car, hands dirty"
Dat man loss wen it come tuh strummin' de guitar,That man is lost when it comes to strumming the guitar
Ah see dem ladies joggin' early in de mrn,I saw those ladies jogging early in the morning
Dem boys dealin' cards right in de yard,Those boys dealing cards right in the yard
Ah ketch dem girls wukin' it at de party,I caught those girls working it at the party
Dem fellas grindin' hard in de office,Those guys grinding hard in the office
Dat gyal clueless 'bout ridin' ah bike,That girl is clueless about riding a bike
Ah hear dem fellas smashin' karaoke tunes,I heard those guys smashing karaoke tunes
Dem chirren playin' hide and seek like pros,Those children playing hide and seek like pros
"Dem boys gaming hard, controllers in hand","Those boys gaming hard, controllers in hand"
Dat man terrified 'bout divin' in deep watas,That man is terrified about diving in deep waters
Ah see dem ladies splurgin' on de latest styles,I saw those ladies splurging on the latest styles
Dem fellas patchin' up de roof in de hot sun,Those guys patching up the roof in the hot sun
Ah craving ah big slice ah cake,I'm craving a big slice of cake
Dey always find ah way tuh hav ah lime,They always find a way to have a good time
Wah yuh feelin fuh dinner tn?,What are you feeling for dinner tonight?
Ah cat iz ah four-legged animal,A cat is a four-legged animal
Ah carnival iz full ah energy and color,A carnival is full of energy and color
Wah iz de plan fuh de weekend?,What is the plan for the weekend?
Ah weekend in Tobago sound perfect,A weekend in Tobago sounds perfect
Dey limin by de river wit sum cole drinks,They are hanging out by the river with some cold drinks
Wah iz de purpos of dis meeting?,What is the purpose of this meeting?
Ah roti is a popular dish in Trinidad,A roti is a popular dish in Trinidad
Dey always givin truble in de neighborhood,They are always causing trouble in the neighborhood
Wah iz de secret tuh yuh success?,What is the secret to your success?
Ah mango tree bears sweet fruit,A mango tree bears sweet fruit
Dey buildin ah new house in de community,They are building a new house in the community
Wah iz de cost of living in dis city?,What is the cost of living in this city?
Ah parang music is full of festive vibes,A parang music is full of festive vibes
Dey studying hard fuh de upcoming exams,They are studying hard for the upcoming exams
Wah iz de bess beach in Trinidad?,What is the best beach in Trinidad?
Ah doubles vendor on de corner sells tasty doubles,A doubles vendor on the corner sells tasty doubles
Dey making rhell noise at de party,They are making a lot of noise at the party
Wah iz de meaning of dis wrd?,What is the meaning of this word?
Ah river flows thru de heart of de fores,A river flows through the heart of the forest
Dey playin criket in de empty lot,They are playing cricket in the empty lot
Wah iz de solution to dis problem?,What is the solution to this problem?
Ah rhelly need ah break rite now,I really need a break right now
Dem kids always askin' fuh more snaks,Those kids are always asking for more snacks
Wah dey sellin' at de market tday?,What are they selling at the market today?
Ah want ah new outfit fuh de party,I want a new outfit for the party
Dey playin' ah gud movie at de cinema,They're playing a good movie at the cinema
Wah time de concert startin' tonite?,What time is the concert starting tonight?
"Ah need ah vacation, sum beach time","I need a vacation, some beach time"
Ah really in de mood for ah doubles,I'm really in the mood for a doubles
Wah yuh recomend on de menu tday?,What do you recommend on the menu today?
Ah thinkin' 'bout redecoratin' meh place,I'm thinking about redecorating my place
Dey talkin' 'bout sum changes at de office,They're talking about some changes at the office
Wah yuh plan fuh de weekend lime?,What are your plans for the weekend hangout?
Ah wish fuh peace and happiness in de world,I wish for peace and happiness in the world
Ah lookin' forward to de holidays,I'm looking forward to the holidays
Wah yuh opinion on de new movie?,What's your opinion on the new movie?
Ah savin' up fuh ah big celebration,I'm saving up for a big celebration
Dey talkin' 'bout a new project at wuk,They're talking about a new project at work
Wah yuh dream destination fuh vacation?,What's your dream destination for vacation?
Ah rhelly appreciate de support,I really appreciate the support
Dey sellin' sum unique items at de market,They're selling some unique items at the market
Wah yuh goin' tuh dress up as fuh Halloween?,What are you going to dress up as for Halloween?
Ah dreamin' 'bout ah cozy cabin in de mountains,I'm dreaming about a cozy cabin in the mountains
Wah yuh favorite type ah music?,What's your favorite type of music?
Ah grateful fuh all de good times,I'm grateful for all the good times
Dey plannin' ah surprise party for yuh birthday,They're planning a surprise party for your birthday
Wah yuh consider de perfect weekend getaway?,What do you consider the perfect weekend getaway?
Ah excitin' fuh de upcoming events,I'm excited for the upcoming events
Dey make ah mean zaboca salad,They make a mean avocado salad
Lewwe go deh and lime for a bit,Let's go there and hang out for a bit
I dey using meh phone right now,I am using my phone right now
Wey yuh woking on currently?,What are you working on currently?
"Nah bai, meen feelin' dat idea","No boy, I ain't feeling that idea"
Ah hadda go to de market later,I have to go to the market later
Issa trini tradition to play parang,It's a Trinidadian tradition to play parang
Meeno wah time yuh geh home,I don't know what time you get home
Yuh wuking hard or hardly wuking?,Are you working hard or hardly working?
I hear dem fellas jokey in de office,I heard those guys joking in the office
"Nah boi, dat nah sound like a plan","No boy, that doesn't sound like a plan"
"Latas dey, meen go see yuh tomorrow","Goodbye, I won't see you tomorrow"
"Issa jokey ting, allyuh always liming","It's a funny thing, you all are always hanging out"
"Ah wuking on meh bday, daz some hardlucks","I'm working on my birthday, that's some bad luck"
Dey bringin' de vybz to de fete,They're bringing the good atmosphere to the party
Ah hadda leh meh fadda know,I have to let my father know
"She always causing bacchanal, dat one","She's always causing confusion, that one"
Wey yuh getting dat bess bhaigan?,Where are you getting that best eggplant?
Ah wuking on a lil side project,I'm working on a little side project
"Wey yuh fone, lemme call yuh","Where is your phone, let me call you"
"Dat man always dotish, eh?","That man always acts stupid, huh?"
Ah gih dem a lil bly and dey wuking hard,I gave them a little favor and they're working hard
Yuh hear bout de wassy parang last night?,Did you hear about the mischievous Christmas music last night?
"Issa nutten, just a lil tick","It's nothing, just a little thick"
Dey liming in de wajang area,They're hanging out in the ghetto area
Yuh cya always rely on yuh wifey,You can always rely on your wife
Dat party was a total bashment,That party was a total party
"Lewwe press, de liming spot is hot","Let's go, the hangout spot is popular"
Wey yuh geh dat rel bad dress?,Where did you get that really cool dress?
Ah feelin' for ah doubles right now,I'm in the mood for a hot doubles right now
Ah hadda bake and shark later,I have to get a fried bake and shark later
"Doh watch meh cut eye, ah just coolin' out","Don't give me a side-eye, I'm just relaxing"
She always stop toting and talkin' sense,She always stops holding feelings and talks sense
Dat fella is ah real topdawg,That guy is a real friend
"Wey yuh dey, ah lookin fuh yuh","Where are you, I am looking for you"
Wey yuh get dat rel bad car?,Where did you get that really cool car?
Ah wah a piece ah cake,I want a piece of cake
"Mehson, yuh lookin bess","My son, you're looking the best"
"Ah wah sumn sweet, gimme dat","I'm craving something sweet, give me that."
"Yuh lookin real sweet, gyul","You're looking really nice, girl"
"Dat dress is rel bad, gyul","That dress looks really cool, girl"
Waz de scene for the weekend?,What's the plan for the weekend?
"Yuh bringin de vibes, we need dat","You're bringing the good atmosphere, we need that"
"Ah givin yuh a chance, show meh","I'm giving you a chance, show me"
"Latas dey, we go link up","Goodbye, we will meet up later"
"Red man, yuh bess behave","Lightskin man, you better behave"
"Waz d word dawg, how yuh makin out?","What's up bro, how are you doing?"
Wey yuh geh dat rel bad car?,Where did you get that really cool car?
"Issa real ting, we go handle it","It's a serious matter, we will deal with it"
Buh wham to yuh?,What happened to you?
Ah fed up with de bacchanal,I am tired of the confusion
"Buh wah yuh sayin, make sense nah","What are you saying, make sense now"
"Wah de ting deh, gyul?","What's the thing, girl?"
Mi ah go tru dat later,I'll go through that later
"Dis wuk hardlucks, mehson","This work is hard, my son"
"Ah gih she de bly, but she cut eye","I gave her a favor, but she gave a side-eye"
"Yuh wukin de topdawg, bai","You're working the top job, boy"
